latent,GB,dcor,p
latent_1,GB020,0.18969080545487552,0.001996007984031936
latent_1,GB021,0.10851664718560167,0.001996007984031936
latent_1,GB022,0.05667567450043,0.06786427145708583
latent_1,GB023,0.2754676994673311,0.001996007984031936
latent_1,GB028,0.11606955875043962,0.001996007984031936
latent_1,GB030,0.23167228288864877,0.001996007984031936
latent_1,GB031,0.07545189408380638,0.001996007984031936
latent_1,GB035,0.16055136519658503,0.001996007984031936
latent_1,GB036,0.04454640663539956,0.1157684630738523
latent_1,GB037,0.06446119232418573,0.021956087824351298
latent_1,GB038,0.05853221695170394,0.031936127744510975
latent_1,GB039,0.13843430269873902,0.001996007984031936
latent_1,GB042,0.18070378628015432,0.001996007984031936
latent_1,GB043,0.15389226493785996,0.001996007984031936
latent_1,GB044,0.10597139328862695,0.001996007984031936
latent_1,GB051,0.19493565373289665,0.001996007984031936
latent_1,GB052,0.09864124166413202,0.001996007984031936
latent_1,GB053,0.12208285806818739,0.001996007984031936
latent_1,GB054,0.09884964255693758,0.001996007984031936
latent_1,GB057,0.20824429670284783,0.001996007984031936
latent_1,GB058,0.10477318435527691,0.001996007984031936
latent_1,GB059,0.1305192855494007,0.001996007984031936
latent_1,GB068,0.1731556763859715,0.001996007984031936
latent_1,GB069,0.07535135150999472,0.00998003992015968
latent_1,GB070,0.08609113012630334,0.001996007984031936
latent_1,GB071,0.07309624211611629,0.007984031936127744
latent_1,GB072,0.11062460076720776,0.001996007984031936
latent_1,GB073,0.04774623153284086,0.09381237524950099
latent_1,GB074,0.08426731018543693,0.003992015968063872
latent_1,GB075,0.06469948043527854,0.02594810379241517
latent_1,GB079,0.2558467956132836,0.001996007984031936
latent_1,GB080,0.0635895410717973,0.021956087824351298
latent_1,GB081,0.16300865420325775,0.001996007984031936
latent_1,GB082,0.0814404614812656,0.003992015968063872
latent_1,GB083,0.04836725892374398,0.11177644710578842
latent_1,GB084,0.04708515285308009,0.12574850299401197
latent_1,GB086,0.11542267672459879,0.001996007984031936
latent_1,GB089,0.06437158271951705,0.021956087824351298
latent_1,GB090,0.18071076208460105,0.001996007984031936
latent_1,GB091,0.08091761284265703,0.005988023952095809
latent_1,GB092,0.19206353188921216,0.001996007984031936
latent_1,GB093,0.1077554994732511,0.001996007984031936
latent_1,GB094,0.19953469673178703,0.001996007984031936
latent_1,GB095,0.029731256203739013,0.5508982035928144
latent_1,GB096,0.07247157482215648,0.011976047904191617
